Factories_name;Parent_companies_name;Country_parent;Address_1_factory;Address_2_factory;Address_3_factory;City_factory;Zip_Code_factory;Province_State_factory;countrycode;country_parent_num;factory_parent_different;Product_Categories_grp;b1_Adidas;b2_ASICS;b3_ASOS;b4_CandA;b5_Debenhams;b6_Esprit;b7_GAP;b8_G_STAR;b9_HandM;b10_MandS;b11_NIKE;b12_Pentland;b13_Primark;b14_PUMA;b15_Under_Armour;b16_VF_Corp;b17_Amer_Sports;b18_Bestseller;b19_KappAhl;b20_New_Balance;b21_Levi_Strauss;b22_PVH;b23_Tesco;b24_UNIQLO;TOTAL_BRANDS;employees_p_factory;nonmbrs;b1_Adidas_DICH;b2_ASICS_DICH;b3_ASOS_DICH;b4_CandA_DICH;b5_Debenhams_DICH;b6_Esprit_DICH;b7_GAP_DICH;b8_G_STAR_DICH;b9_HandM_DICH;b10_MandS_DICH;b11_NIKE_DICH;b12_Pentland_DICH;b13_Primark_DICH;b14_PUMA_DICH;b15_Under_Armour_DICH;b16_VF_Corp_DICH;b17_Amer_Sports_DICH;b18_Bestseller_DICH;b19_KappAhl_DICH;b20_New_Balance_DICH;b21_Levi_Strauss_DICH;b22_PVH_DICH;b23_Tesco_DICH;b24_UNIQLO_DICH;employees_p_factory_gt1000;ownership_grp;TOTAL_BRANDS16;TOTAL_BRANDS16_dich;femployees_p_factory;EPZ;Country
Agami Fashion Ltd;Dekko Designs Ltd;IN;Holding no.79 1 Chandra;;;gazipur;1750;dhaka;Bangladesh;India;yes;footwear;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0.0;;0.0;0.0;0.0;0.0;;0.0;7500;500.0;2500.0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;no;7500;500.0;500.0;-9;no;Bangladesh
AKH Eco Apparels Ltd;AKH Group;BD;No 495 Balitha Shah Belishwer;;;dhaka;1800;dhaka;Bangladesh;Bangladesh;yes;footwear;0;0;0;2500;0;0;0;0;0;0;0;0;2500;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500;2500.0;;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;yes;2500;2500.0;500.0;45;no;Bangladesh
A.K.M. Knit Wear Ltd;Anupam Hosiery Industries (Al-Muslim Group);BD;Gedda Karnapara Ulail;;;dhaka;1340;dhaka;Bangladesh;Bangladesh;yes;footwear;0;0;0;7500;0;0;0;0;2500;0;0;0;0;0;0;0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;7500;7500.0;500.0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;yes;2500;2500.0;500.0;-9;no;Bangladesh
Aleya Design;Aleya Design;BD;House 28 Plot 946 947;;;dhaka;1216;dhaka;Bangladesh;Bangladesh;no;accessories;0;0;0;500;0;500;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500;500.0;;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;500;2500.0;500.0;-9;yes;Bangladesh
Aleya Embroidery;Aleya Embroidery;BD;Plot 808 Iqbql bhaban Dhour Nishadnagar,;;;dhaka;1230;dhaka;Bangladesh;Bangladesh;no;accessories;0;0;0;500;0;500;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500;500.0;;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;500;2500.0;500.0;-9;yes;Bangladesh
ALIF Trading cy.;Amantex Ltd (Aman Group);IN;Bangabandhu Road, Tongabari, Ashulia;;;dhaka;1341;dhaka;Bangladesh;India;yes;accessories;0;0;0;2500;0;2500;2500;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7500;2500.0;;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;yes;7500;7500.0;500.0;-9;no;Bangladesh
Al-Islam Textiles Ltd;Al-Islam Textiles Industry Ltd (Pioneer Group);IN;Karnapara;;;dhaka;1340;dhaka;Bangladesh;India;yes;footwear;0;0;0;2500;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;2500.0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;yes;7500;500.0;500.0;-9;no;Bangladesh
Al Muslim Accessories Ltd;Anupam Hosiery Industries (Al-Muslim Group);BD;Nishchintapur, Zirabo, Ashulia;;;dhaka;1341;dhaka;Bangladesh;Bangladesh;yes;accessories;0;0;0;500;0;500;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500;500.0;;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;2500.0;500.0;-9;no;Bangladesh
Amtranet Limited;Garments Export Village Ltd;BD;160, WEST RAJASHAN, SAVAR;;;savar;1340;dhaka;Bangladesh;Bangladesh;yes;footwear;0;0;0;2500;0;0;0;0;2500;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500;2500.0;;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;yes;2500;2500.0;500.0;-9;no;Bangladesh
ANAM Clothing Ltd;Interstoff Apparels Ltd;BD;110 Khortoil Sataish Road, Kaliakoir;;;gazipur;1712;dhaka;Bangladesh;Bangladesh;yes;footwear;0;0;0;500;0;0;0;0;500;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500;500.0;;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;2500.0;500.0;-9;no;Bangladesh
Interstoff Apparels Ltd;Interstoff Apparels Ltd;BD;Chandra, Kaliakoir;;;gazipur;1704;dhaka;Bangladesh;Bangladesh;no;footwear;0;0;0;0;0;0;0;0;2500;2500;0;0;0;0;0;0;0.0;0.0;;0.0;0.0;0.0;;0.0;4;2500.0;2500.0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;yes;500;2500.0;500.0;55;no;Bangladesh
Anowara Knit Composite Ltd;Vast Glory Trading Ltd;HK;Mulaid Mawna Sreepur;;;gazipur;1740;dhaka;Bangladesh;344;yes;footwear;0;0;0;2500;0;0;0;0;0;0;0;0;2500;0;0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;7500;2500.0;500.0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;yes;7500;2500.0;500.0;46;no;Bangladesh
